阿姨,āyí,"dì, cô"
以为,yǐwéi,cho rằng
一般,yībān,thông thường
一边,yībiān,vừa ... vừa ...
一直,yīzhí,luôn luôn
音乐,yīnyuè,âm nhạc
银行,yínháng,ngân hàng
应该,yīnggāi,nên
影响,yǐngxiǎng,ảnh hưởng
用,yòng,dùng
游戏,yóuxì,trò chơi
又,yòu,"lại, vừa"
有名,yǒumíng,nổi tiếng
遇到,yùdào,gặp phải
月亮,yuèliàng,mặt trăng
云,yún,mây
站,zhàn,"đứng, trạm"
长,zhǎng,dài
着急,zhāojí,lo lắng
照顾,zhàogu,chăm sóc
照片,zhàopiàn,bức ảnh
照相机,zhàoxiàngjī,máy ảnh
只,zhǐ,chỉ
中间,zhōngjiān,ở giữa
终于,zhōngyú,cuối cùng
种,zhǒng,"loại, hạt giống"
重要,zhòngyào,quan trọng
主要,zhǔyào,chủ yếu
周末,zhōumò,cuối tuần
祝,zhù,chúc
注意,zhùyì,chú ý
字典,zìdiǎn,từ điển
自己,zìjǐ,bản thân
总是,zǒngshì,luôn luôn
最近,zuìjìn,gần đây
作业,zuòyè,bài tập về nhà
作用,zuòyòng,tác dụng
